"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"JSONPlaceholder API Testing","Posts Resource","GET Operations","0","0","16","0","0"
"JSONPlaceholder API Testing","Comments Resource","GET Operations","0","0","15","0","0"
"JSONPlaceholder API Testing","Photos Resource","GET Operations","0","0","15","0","0"
"JSONPlaceholder API Testing","Albums Resource","GET Operations","0","0","16","0","0"
"JSONPlaceholder API Testing","Users Resource","POST Operations","0","0","3","0","0"
"JSONPlaceholder API Testing","Todos Resource","DELETE Operations","0","0","1","0","0"
"JSONPlaceholder API Testing","Users Resource","GET Operations","0","0","23","0","0"
"JSONPlaceholder API Testing","Todos Resource","GET Operations","0","0","17","0","0"
"JSONPlaceholder API Testing","Todos Resource","PUT Operations","0","0","1","0","0"
"JSONPlaceholder API Testing","Todos Resource","POST Operations","0","0","3","0","0"
"JSONPlaceholder API Testing","Albums Resource","PATCH Operations","0","0","1","0","0"
"JSONPlaceholder API Testing","Albums Resource","POST Operations","0","0","3","0","0"
"JSONPlaceholder API Testing","Posts Resource","PATCH Operations","0","0","1","0","0"
"JSONPlaceholder API Testing","Users Resource","PUT Operations","0","0","1","0","0"
"JSONPlaceholder API Testing","Photos Resource","POST Operations","0","0","3","0","0"
"JSONPlaceholder API Testing","Posts Resource","POST Operations","0","0","4","0","0"
"JSONPlaceholder API Testing","Comments Resource","PATCH Operations","0","0","1","0","0"
"JSONPlaceholder API Testing","Comments Resource","DELETE Operations","0","0","1","0","0"
"JSONPlaceholder API Testing","Users Resource","PATCH Operations","0","0","1","0","0"
"JSONPlaceholder API Testing","Photos Resource","PATCH Operations","0","0","1","0","0"
"JSONPlaceholder API Testing","Photos Resource","PUT Operations","0","0","1","0","0"
"JSONPlaceholder API Testing","Posts Resource","DELETE Operations","0","0","1","0","0"
"JSONPlaceholder API Testing","Posts Resource","PUT Operations","0","0","1","0","0"
"JSONPlaceholder API Testing","Albums Resource","DELETE Operations","0","0","1","0","0"
"JSONPlaceholder API Testing","Comments Resource","POST Operations","0","0","3","0","0"
"JSONPlaceholder API Testing","Users Resource","DELETE Operations","0","0","1","0","0"
"JSONPlaceholder API Testing","Todos Resource","PATCH Operations","0","0","1","0","0"
"JSONPlaceholder API Testing","Comments Resource","PUT Operations","0","0","1","0","0"
"JSONPlaceholder API Testing","Photos Resource","DELETE Operations","0","0","1","0","0"
"JSONPlaceholder API Testing","Albums Resource","PUT Operations","0","0","1","0","0"
