"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 18 07:21:37 UTC 2026","Wed Mar 18 07:21:38 UTC 2026","87","JSONPlaceholder API Test Suite","Photos API Tests","QA.photos.PhotosTest","QA.photos.PhotosTest","getPhotosByAlbumIdQueryParam","getPhotosByAlbumIdQueryParam","Verify filtering photos by albumId query parameter"
"passed","Wed Mar 18 07:21:43 UTC 2026","Wed Mar 18 07:21:43 UTC 2026","79","JSONPlaceholder API Test Suite","Users API Tests","QA.users.UsersTest","QA.users.UsersTest","getUserAlbums","getUserAlbums","Verify fetching albums for a specific user"
"passed","Wed Mar 18 07:21:34 UTC 2026","Wed Mar 18 07:21:34 UTC 2026","116","JSONPlaceholder API Test Suite","Comments API Tests","QA.comments.CommentsTest","QA.comments.CommentsTest","deleteComment","deleteComment","Verify deleting a comment returns status 200"
"passed","Wed Mar 18 07:21:43 UTC 2026","Wed Mar 18 07:21:43 UTC 2026","91","JSONPlaceholder API Test Suite","Users API Tests","QA.users.UsersTest","QA.users.UsersTest","getUserAlbums","getUserAlbums","Verify fetching albums for a specific user"
"passed","Wed Mar 18 07:21:29 UTC 2026","Wed Mar 18 07:21:29 UTC 2026","100","JSONPlaceholder API Test Suite","Posts API Tests","QA.posts.PostsTest","QA.posts.PostsTest","getPostsByUserIdQueryParam","getPostsByUserIdQueryParam","Verify filtering posts by userId query parameter"
"passed","Wed Mar 18 07:21:32 UTC 2026","Wed Mar 18 07:21:32 UTC 2026","119","JSONPlaceholder API Test Suite","Comments API Tests","QA.comments.CommentsTest","QA.comments.CommentsTest","getCommentByValidId","getCommentByValidId","Verify fetching a comment by valid ID returns correct data"
"passed","Wed Mar 18 07:21:28 UTC 2026","Wed Mar 18 07:21:28 UTC 2026","93","JSONPlaceholder API Test Suite","Posts API Tests","QA.posts.PostsTest","QA.posts.PostsTest","getPostByInvalidId","getPostByInvalidId","Verify fetching a non-existent post returns 404"
"passed","Wed Mar 18 07:21:38 UTC 2026","Wed Mar 18 07:21:38 UTC 2026","85","JSONPlaceholder API Test Suite","Photos API Tests","QA.photos.PhotosTest","QA.photos.PhotosTest","getPhotosByAlbumIdQueryParam","getPhotosByAlbumIdQueryParam","Verify filtering photos by albumId query parameter"
"passed","Wed Mar 18 07:21:33 UTC 2026","Wed Mar 18 07:21:34 UTC 2026","202","JSONPlaceholder API Test Suite","Comments API Tests","QA.comments.CommentsTest","QA.comments.CommentsTest","updateCommentWithPut","updateCommentWithPut","Verify fully updating a comment"
"passed","Wed Mar 18 07:21:40 UTC 2026","Wed Mar 18 07:21:41 UTC 2026","124","JSONPlaceholder API Test Suite","Todos API Tests","QA.todos.TodosTest","QA.todos.TodosTest","createTodo","createTodo","Verify creating a new todo with various data returns status 201"
"passed","Wed Mar 18 07:21:35 UTC 2026","Wed Mar 18 07:21:35 UTC 2026","91","JSONPlaceholder API Test Suite","Albums API Tests","QA.albums.AlbumsTest","QA.albums.AlbumsTest","getAlbumsByUserIdQueryParam","getAlbumsByUserIdQueryParam","Verify filtering albums by userId query parameter"
"passed","Wed Mar 18 07:21:41 UTC 2026","Wed Mar 18 07:21:41 UTC 2026","126","JSONPlaceholder API Test Suite","Todos API Tests","QA.todos.TodosTest","QA.todos.TodosTest","createTodo","createTodo","Verify creating a new todo with various data returns status 201"
"passed","Wed Mar 18 07:21:33 UTC 2026","Wed Mar 18 07:21:33 UTC 2026","141","JSONPlaceholder API Test Suite","Comments API Tests","QA.comments.CommentsTest","QA.comments.CommentsTest","createComment","createComment","Verify creating a new comment with various data returns status 201"
"passed","Wed Mar 18 07:21:32 UTC 2026","Wed Mar 18 07:21:32 UTC 2026","85","JSONPlaceholder API Test Suite","Comments API Tests","QA.comments.CommentsTest","QA.comments.CommentsTest","getCommentByInvalidId","getCommentByInvalidId","Verify fetching a non-existent comment returns 404"
"passed","Wed Mar 18 07:21:42 UTC 2026","Wed Mar 18 07:21:42 UTC 2026","71","JSONPlaceholder API Test Suite","Users API Tests","QA.users.UsersTest","QA.users.UsersTest","getUserByInvalidId","getUserByInvalidId","Verify fetching a non-existent user returns 404"
"passed","Wed Mar 18 07:21:37 UTC 2026","Wed Mar 18 07:21:37 UTC 2026","115","JSONPlaceholder API Test Suite","Photos API Tests","QA.photos.PhotosTest","QA.photos.PhotosTest","getPhotoByValidId","getPhotoByValidId","Verify fetching a photo by valid ID returns correct data"
"passed","Wed Mar 18 07:21:39 UTC 2026","Wed Mar 18 07:21:39 UTC 2026","75","JSONPlaceholder API Test Suite","Todos API Tests","QA.todos.TodosTest","QA.todos.TodosTest","getTodoByInvalidId","getTodoByInvalidId","Verify fetching a non-existent todo returns 404"
"passed","Wed Mar 18 07:21:31 UTC 2026","Wed Mar 18 07:21:31 UTC 2026","292","JSONPlaceholder API Test Suite","Comments API Tests","QA.comments.CommentsTest","QA.comments.CommentsTest","getAllComments","getAllComments","Verify fetching all comments returns 500 comments with status 200"
"passed","Wed Mar 18 07:21:33 UTC 2026","Wed Mar 18 07:21:33 UTC 2026","101","JSONPlaceholder API Test Suite","Comments API Tests","QA.comments.CommentsTest","QA.comments.CommentsTest","verifyGetCommentsHeaders","verifyGetCommentsHeaders","Verify response headers for GET comments"
"passed","Wed Mar 18 07:21:33 UTC 2026","Wed Mar 18 07:21:33 UTC 2026","110","JSONPlaceholder API Test Suite","Comments API Tests","QA.comments.CommentsTest","QA.comments.CommentsTest","getCommentsByPostIdQueryParam","getCommentsByPostIdQueryParam","Verify filtering comments by postId query parameter"
"passed","Wed Mar 18 07:21:32 UTC 2026","Wed Mar 18 07:21:32 UTC 2026","87","JSONPlaceholder API Test Suite","Comments API Tests","QA.comments.CommentsTest","QA.comments.CommentsTest","getCommentByInvalidId","getCommentByInvalidId","Verify fetching a non-existent comment returns 404"
"passed","Wed Mar 18 07:21:35 UTC 2026","Wed Mar 18 07:21:35 UTC 2026","87","JSONPlaceholder API Test Suite","Albums API Tests","QA.albums.AlbumsTest","QA.albums.AlbumsTest","getAlbumsByUserIdQueryParam","getAlbumsByUserIdQueryParam","Verify filtering albums by userId query parameter"
"passed","Wed Mar 18 07:21:39 UTC 2026","Wed Mar 18 07:21:39 UTC 2026","100","JSONPlaceholder API Test Suite","Todos API Tests","QA.todos.TodosTest","QA.todos.TodosTest","getTodoByValidId","getTodoByValidId","Verify fetching a todo by valid ID returns correct data"
"passed","Wed Mar 18 07:21:36 UTC 2026","Wed Mar 18 07:21:36 UTC 2026","199","JSONPlaceholder API Test Suite","Albums API Tests","QA.albums.AlbumsTest","QA.albums.AlbumsTest","updateAlbumWithPut","updateAlbumWithPut","Verify fully updating an album"
"passed","Wed Mar 18 07:21:41 UTC 2026","Wed Mar 18 07:21:41 UTC 2026","102","JSONPlaceholder API Test Suite","Users API Tests","QA.users.UsersTest","QA.users.UsersTest","getAllUsers","getAllUsers","Verify fetching all users returns 10 users with status 200"
"passed","Wed Mar 18 07:21:35 UTC 2026","Wed Mar 18 07:21:35 UTC 2026","84","JSONPlaceholder API Test Suite","Albums API Tests","QA.albums.AlbumsTest","QA.albums.AlbumsTest","getAlbumByInvalidId","getAlbumByInvalidId","Verify fetching a non-existent album returns 404"
